source_id,RAICRS,DEICRS,Vmag,pmRA,pmDE,size
5981928783715448064,237.2100899626874,-52.43830340768812,5.584008693695068,2.328842105769348,-11.058007778371692,1.4100015463194966
536756498370673792,12.04005046603528,72.67454633367866,5.584105968475342,142.21524913703917,11.171076907574513,1.4099056468926103
6205062986248608512,224.1285920684246,-32.636935684880456,5.584259986877441,-3.5533164936379764,-34.16751016088661,1.4097538061333736
565525976023772288,18.072416959434452,79.67394179452158,5.5847673416137695,94.73637358217745,-4.946878285735158,1.4092536248088292
6080365276603229184,196.3778680849822,-52.11561955038352,5.584819316864014,-51.649480452984434,9.251666300685256,1.409202384428777
432336806794345472,0.6504657189348808,66.0989627384363,5.585218906402588,7.262015893843199,-0.13656204525145166,1.4088084446261755
3709988940650856064,190.48766853099934,6.806566337492779,5.585227966308594,-71.53170932820498,-11.169624718511496,1.4087995128168085
2005992002061917312,335.77920139127536,55.96321618744095,5.585438251495361,-3.6061390274896272,-2.880843216383795,1.4085922008204514
1846740215346263936,321.14193275800557,26.174583540393318,5.585765361785889,49.12083978682338,5.594888520219628,1.4082697154927846
2086308474601847168,297.99609664167923,47.02732085168613,5.5857744216918945,-3.559400967266413,-4.0008047527931545,1.4082607836834176
1598411047445960320,238.06879016078634,55.82695343788575,5.58634614944458,-24.509312050482162,54.28835064479969,1.4076971395028455
4976894960284258048,1.5837990651942728,-49.075368186630975,5.5867018699646,575.0993084165844,-40.8740956886412,1.4073464484613887
6853183996574063360,304.50598536589064,-21.81006458687541,5.586791038513184,34.45131187821769,-23.897547045531738,1.4072585406534095
4903642746860871040,10.677153335223078,-60.26303420337897,5.5869340896606445,263.68607503912625,-51.21412556791314,1.407117512084459
5542313111163231744,127.62412333456412,-36.72131836651618,5.587209224700928,-4.871339562739804,2.733599408625354,1.4068462671368442
5317114850417299584,133.79928015793473,-54.96617494635676,5.587254047393799,24.398212954927402,-91.36268997181108,1.4068020781852397
223011473858633856,56.13126466720484,36.45993598382901,5.587321758270264,45.38516669804057,-35.614944016058466,1.406735324662603
6014626197930669056,236.68413296709085,-34.682569890072784,5.587417125701904,-19.67258548464143,-26.349595863354402,1.406641305616636
2080897296848794368,303.4283682665463,43.37902655686923,5.587503910064697,-3.3994319960154424,3.4129911152146697,1.4065557482848061
5519380081746387328,122.9998341007663,-46.64431879265177,5.587531089782715,-4.209347815679895,6.911459413906125,1.4065289528567055
5236628743853286528,173.08331578747874,-66.9618014529212,5.587723731994629,-0.11347449039045687,4.944809069452878,1.4063390343838522
852411202776521856,151.1511712939922,53.891694294038516,5.5877814292907715,-22.861525954533697,-4.53147478547273,1.406282152861042
5642487966297395840,132.50922420351984,-29.462962603564268,5.588160991668701,-14.554790054859282,8.243358154526977,1.4059079570580935
5927991553645932672,247.43840566894576,-57.756335661364126,5.5882391929626465,-1.6657598678207748,-2.558922274525799,1.4058308614404007
5795467485840161792,229.87083684433136,-71.79209209969784,5.58837890625,-13.715370348172117,-11.596509155463657,1.405693123538059
4589886418000460288,274.9669457280506,29.666404613260557,5.588667869567871,-2.3222533829434684,3.075052993973159,1.4054082458287789
122659666064908672,48.835087165086215,30.556700652979096,5.589026927947998,-15.20667626075426,2.558502684304956,1.405054264120713
5858915766471945984,197.0297594341892,-65.30602945763631,5.589323043823242,-4.271586257993524,-1.663808463105784,1.4047623349829856
876666120047998592,123.28689263604743,29.656451294138847,5.5898308753967285,-11.265079863844143,-19.506325547686238,1.4042616835632113
560881879425930112,38.629301489740634,76.71792198823051,5.590299129486084,71.76919264842118,-51.18084896513788,1.4038000500475134
1420101696285626624,256.33346232929046,54.47105361648125,5.590327739715576,-97.8965883123237,94.86955196103186,1.4037718443337233
5842015070082092416,188.04217467596877,-73.0010826928976,5.590634822845459,40.069333163269484,-5.820353411319855,1.4034691030057096
5334608080460780672,177.61359406333256,-62.64937856185192,5.590643882751465,-6.237915560754762,0.8096440559049252,1.4034601711963428
1235912096811203968,219.55814609205026,18.298089285469107,5.590649604797363,-28.935410654474865,-64.89824034378132,1.4034545300535846
2187344006823822592,307.94361654394623,56.779821468180714,5.590997219085693,-21.2711855866727,-9.272509146336178,1.403111830631035
5583324035874959360,102.59726938565196,-31.705989825571717,5.591586589813232,-2.8738792462569935,15.30857918312614,1.4025307929269588
5216180438887797632,139.35464022697795,-74.89417242567426,5.591899394989014,-23.507143113503272,24.0822533722883,1.4022224104561871
912931793103559808,133.0415719109047,42.00245544721537,5.592339515686035,-33.23856245000731,-62.43821817779827,1.4017885125590495
4024224519144742528,175.39089480861094,31.746181614931537,5.5924153327941895,-352.10525722089795,29.919399711861566,1.4017137674175058
2071828868562847616,298.70111017580234,36.99571407121872,5.59257173538208,11.480825610365914,8.50220490764185,1.4015595761821198
5835091033111487488,243.9573862084281,-57.91257079087746,5.592641353607178,-12.356087663316032,-49.81096843715234,1.401490942278564
3179177299793164544,68.34203090184492,-10.78520657583758,5.592756748199463,0.5111353093663216,29.388737014949722,1.401377179232944
4456326438469313408,241.90632086533293,9.891702319096325,5.592798709869385,-20.3953074674298,-8.683921786017732,1.4013358108527183
6535867174178188032,350.93937709374035,-43.12437183642993,5.592816352844238,18.65479083065615,12.370026956727514,1.4013184173292146
5985535937808424448,235.65508371456076,-49.489634907621344,5.592820644378662,-3.624659410112896,-22.683160337780453,1.401314186472146
2090166351663597696,280.96479581983937,31.926053516550216,5.592861652374268,-32.52715993321208,-125.960130335637,1.4012737582823802
1562168842092340352,203.5302901144574,55.348408099621295,5.592869758605957,-19.066097437766068,-5.966318691679572,1.401265766663473
1256116447605381504,217.19185206911098,25.85383391512073,5.592884540557861,12.695427993122834,-11.232505160918976,1.401251193711348
3139024715696867200,109.84320642925223,2.740634861156608,5.592914581298828,-4.550766199506077,-9.271932586140641,1.4012215777118684
3927138467046454272,180.01911580651046,19.419244322404513,5.592929363250732,-96.26529817903088,-28.56456153448259,1.4012070047597436
4237169341286788096,298.686821473143,0.2735639209206055,5.592933177947998,39.65660203264535,-13.765505749739063,1.401203243997905
954439594002055296,104.23293777880045,46.705004678319746,5.593061447143555,-93.04561165153889,-78.12694830882526,1.4010767883810793
6830187710876927616,323.7125579564056,-20.084125831253843,5.593092441558838,-33.742153333093384,30.369288893255565,1.40104623219114
1150070921929098368,90.33524817449982,85.18210893845733,5.593240737915039,14.646400680487796,-1.4035969821165655,1.4009000325746612
